fancyname;category;company;purchases;ads;usersinteract;age_rating;Downloads;price;rating;numberreviews;five;four;three;two;one
HOP vs GRAVITY;arcade;muhammad saeed;1;1;0;0;100000;0;4.0;504;100;24;19;12;19
Potion Punch;arcade;monstronauts inc.;1;1;0;0;10000000;0;4.6;304619;100;17;5;2;4
SuperCity: Building game;simulation;playkot ltd;1;1;1;0;1000000;0;4.3;115668;100;16;9;4;12
Ball's Journey;arcade;voodoo;1;1;0;0;1000000;0;4.3;23498;100;18;8;4;12
Turn Right;racing;avix;1;1;0;0;1000000;0;4.1;7574;100;25;9;4;23
Partymasters - Fun Idle Game;arcade;playgendary;1;1;0;0;10000000;0;4.2;1058643;100;12;8;4;18
Tank Stars;arcade;playgendary;1;1;0;7;50000000;0;3.8;832154;100;19;11;6;37
Dream Piano - Music Game;music;tap lab;0;1;0;0;10000000;0;4.5;527012;100;11;5;2;7
Keep it alive!;action;voodoo;1;1;0;0;5000000;0;4.1;30135;100;22;10;3;20
Soccer Stars;sports;miniclip.com;1;1;0;0;50000000;0;4.3;2023955;100;15;7;3;14
Puzzles for kids Zoo Animals;educational;sedo games;0;1;0;0;5000000;0;4.4;3426;100;6;7;2;11
Builder Game;casual;m by bubadu;1;1;0;0;10000000;0;3.9;73871;100;12;11;7;26
Learn to Draw Glow Cartoon;educational;colorjoy;1;1;0;0;10000000;0;3.8;31272;100;13;13;9;34
Casino roulette: Roulettist;casino;kamagames;1;1;1;12;1000000;0;4.4;21409;100;18;6;2;10
Buddy Toss;casual;currygames;1;1;0;7;10000000;0;4.0;104982;100;18;13;7;22
Axe Climber;arcade;green panda games;1;1;0;0;1000000;0;3.3;7689;100;28;25;18;70
Blue Edge;arcade;ketchapp;1;1;0;0;1000000;0;4.1;7424;100;20;14;7;17
Roulette Royale - FREE Casino;casino;mywavia studios;1;1;1;12;10000000;0;4.4;146248;100;15;7;2;8
Blackjack 21: Blackjackist;card;kamagames;1;1;1;12;5000000;0;4.3;68053;100;20;7;3;15
Benji Bananas;adventure;benji bananas;1;1;0;0;50000000;0;4.5;1130821;100;14;7;1;6
Dirt Xtreme;racing;deemedya inc;1;1;0;0;5000000;0;4.3;5025;100;20;9;3;13
2 3 4 Player Mini Games;simulation;better world games;0;1;0;7;10000000;0;4.3;210672;100;14;7;3;12
2-4 Player Game Collection;casual;markigames;0;1;0;0;100000;0;3.5;1212;100;34;18;10;54
Battlelands Royale;action;futureplay;1;1;0;7;10000000;0;4.2;795333;100;18;9;4;18
Mafiaway;action;grand game media b.v.;1;0;1;12;10000;0;3.9;716;100;40;15;5;30
GTA: Chinatown Wars;action;rockstar games;0;0;0;18;100000;5.49;4.4;26274;100;18;6;2;11
Pixel Gun 3D: FPS Shooter & Battle Royale;action;pixel gun 3d;1;1;1;12;50000000;0;4.3;5224163;100;11;6;3;17
Rodeo Stampede: Sky Zoo Safari;casual;yodo1 games;1;1;0;0;10000000;0;4.4;756763;100;17;8;3;9
Flying Car Real Driving;simulation;game tap;1;1;0;0;1000000;0;3.7;1106;100;12;13;10;42
8-BIT WATERSLIDE;arcade;ancient games d s;1;1;0;7;500000;0;4.3;6538;100;14;7;2;14
Geometry Dash SubZero;arcade;robtop games;0;1;0;0;10000000;0;4.4;411878;100;16;7;3;9
Geometry Dash World;arcade;robtop games;0;1;1;0;50000000;0;4.4;884646;100;13;6;2;10
Fishy Bits 2;arcade;playside studios;1;1;0;0;1000000;0;4.3;2054;100;16;8;3;13
Basketball Stars;sports;miniclip.com;1;1;0;0;50000000;0;4.4;1020273;100;19;6;2;10
Hackers;strategy;trickster arts;1;1;1;0;5000000;0;4.5;161602;100;19;7;2;7
Pixel Sword Fish io;arcade;appidea capital ltd;1;1;0;0;1000000;0;4.5;213613;100;14;8;2;7
Grow Castle;arcade;raon games;1;1;0;12;10000000;0;4.3;307735;100;19;9;4;11
Ghost Pop!;arcade;playside studios;1;1;0;0;500000;0;4.5;15414;100;20;7;2;5
Jungle Run Lost Temple;action;fire stu;1;1;0;0;1000000;0;4.0;14327;100;11;11;6;27
Big Big Baller;arcade;lion studios;1;1;0;7;10000000;0;3.6;63486;100;21;18;12;43
<U+0001F4F1><U+0001F4F2> Dual Multiplayer Shooter;action;gaming-apps.com;1;1;0;7;500000;0;3.5;5081;100;12;9;11;50
Freeroam City Online;adventure;indig0;0;1;0;12;5000000;0;4.3;127437;100;15;7;2;13
Stickman Legends: Shadow War Offline Fighting Game;action;zitga pte. ltd.;1;1;0;12;5000000;0.59;4.4;191143;100;18;8;3;7
Iron Blade: Medieval Legends RPG;action;gameloft se;1;1;1;12;10000000;0;4.1;286437;100;22;11;5;21
Snake VS. Colors;arcade;crazy labs by tabtale;1;1;0;0;1000000;0;3.5;8623;100;38;33;19;44
Run Around <U+C6C3>;arcade;crazy labs by tabtale;1;1;0;12;1000000;0;4.0;9434;100;21;13;8;21
New Star Soccer;sports;five aces publishing ltd.;1;1;0;12;10000000;0;4.7;2091915;100;17;5;1;2
Can You Crack The Code;puzzle;7/feb;1;1;0;0;100000;0;4.0;1637;100;35;13;6;24
AirportPRG;strategy;haug.land;0;0;0;0;500000;0;4.1;9365;100;26;14;8;16
Life Simulator;simulation;protopia games;1;1;0;7;500000;0;3.3;4686;100;35;21;18;76
Een tegen 100;trivia;endemol nederland b.v.;0;0;0;0;500000;0;4.1;4154;100;70;18;3;16
Madden NFL Mobile Football;sports;electronic arts;1;1;1;0;10000000;0;4.0;1578425;100;15;8;5;25
NBA LIVE Mobile Basketball;sports;electronic arts;1;1;1;0;50000000;0;4.3;2086163;100;16;6;3;14
World War Heroes: WW2 Shooter;action;azur interactive games limited;1;1;1;16;10000000;0;4.4;1208692;100;21;7;2;8
World of Warships Blitz: Gunship Action War Game;action;wargaming group;1;0;1;7;5000000;0;4.4;287348;100;22;7;3;9
Forward Assault;action;blayze games, l.l.c.;1;0;0;16;5000000;0;4.3;272647;100;19;9;3;14
Trench Assault;strategy;amt games publishing limited;1;1;0;12;10000000;0;4.2;181128;100;9;5;3;17
RULES OF SURVIVAL;action;netease games;1;0;1;16;10000000;0;4.0;1742438;100;9;7;5;29
Mahjong;puzzle;magma mobile;0;1;0;0;10000000;0;4.5;182436;100;36;7;2;3
Motorsport Manager Mobile 2;racing;playsport games;1;0;0;12;100000;4.49;4.3;11114;100;24;9;4;12
VR Haunted House 3D;action;serkan culfa;0;1;0;12;1000000;0;3.9;2579;100;29;14;4;31
Pok�mon Shuffle Mobile;puzzle;the pokemon company;1;1;1;0;10000000;0;4.5;288558;100;23;6;2;6
Dolphin Emulator;arcade;dolphin emulator;0;0;0;0;1000000;0;3.9;41136;100;26;17;7;26
Mupen64Plus FZ (N64 Emulator);arcade;francisco zurita;1;0;0;0;1000000;0;4.5;38484;100;15;5;2;8
Arena of Valor: 5v5 Arena Game;action;tencent games;1;0;1;12;10000000;0;3.9;761572;100;18;9;5;29
RetroArch;action;libretro;0;0;0;0;1000000;0;3.9;26784;100;23;12;8;27
Draw Something Classic;word;zynga;1;1;1;0;50000000;0;4.2;1107882;100;44;17;5;11
QuizUp;trivia;glu;1;1;1;0;10000000;0;4.2;708981;100;24;11;5;15
Age of Civilizations Africa;strategy;lukasz jakowski;0;0;0;0;500000;1.49;3.8;3514;100;30;19;13;31
Ambitions:Birth of a President;role playing;t4 game ltd;1;0;1;16;100000;0;4.4;2315;100;1;5;4;13
Swing Star;action;good job games;1;1;0;0;10000000;0;3.8;153728;100;18;15;7;32
Leap Day;action;nitrome;1;1;0;12;1000000;0;4.0;353;100;31;16;9;20
Idle Flipper;simulation;voodoo;1;1;0;0;1000000;0;2.8;5584;82;11;17;14;100
Demolition Derby 3D;racing;italic games;1;1;0;16;1000000;0;4.1;33502;100;17;15;7;19
Stickman Turbo Destruction;simulation;stickman dismount jkg., jsc;1;1;0;7;1000000;0;3.9;10157;100;15;10;4;32
Dream League Soccer;sports;first touch games ltd.;1;1;0;0;100000000;0;4.5;12554613;100;14;6;2;9
3DTuning;simulation;3dtuning;1;1;1;0;5000000;0;4.2;200294;100;20;10;5;17
Andoku Sudoku 3;puzzle;markus wiederkehr;1;1;0;12;1000000;0;4.7;36735;100;22;2;0;1
Soccer Manager 2019 - Top Football Management Game;sports;soccer manager ltd;1;1;0;0;1000000;0;4.2;99393;100;28;12;5;13
Xpert Eleven Football Manager;sports;xpert eleven;1;1;1;0;50000;0;2.9;1173;88;18;40;18;100
Football Chairman - Build a Soccer Empire;sports;underground creative;1;1;0;0;500000;0;4.1;11188;100;42;18;7;15
Club Soccer Director 2019 - Soccer Club Management;sports;go play games ltd;1;1;0;0;500000;0;3.9;11904;100;37;21;9;23
